ma_sp,ten_san_pham,thuong_hieu,loai,gia_shopee,gia_tiktok,tinh_trang,ban_tren_san,ghi_chu
NLBT406,"Bóng đèn Búp trụ 40W, đui E27, 6500K",Nanoco,Bulb trụ,183.000đ,191.000đ,"Đặt trước (kho tạm hết, nhập theo yêu cầu)",Có,Màu: Ánh sáng trắng
NLBT506,"Bóng đèn Búp trụ 50W, đui E27, 6500K",Nanoco,Bulb trụ,245.000đ,256.000đ,"Đặt trước (kho tạm hết, nhập theo yêu cầu)",Có,Màu: Ánh sáng trắng
STARBRIGHT WIDE NXT LED40/CW L1200,Đèn bán nguyệt STARBRIGHT WIDE NXT LED40/CW L1200,Philips,Bán nguyệt,313.000đ,327.000đ,Có sẵn,Có,Kích thước đèn dài 1m2; Màu: Ánh sáng trắng
NSHE206,"Đèn Led bán nguyệt Eco, công suất 20W, Dài 60cm",Nanoco,Bán nguyệt,140.000đ,146.000đ,"Đặt trước (kho tạm hết, nhập theo yêu cầu)",Có,Kích thước đèn dài 60cm; Màu: Ánh sáng trắng
NSHE406,"Đèn Led bán nguyệt Eco, công suất 40W, Dài 120cm",Nanoco,Bán nguyệt,198.000đ,206.000đ,"Đặt trước (kho tạm hết, nhập theo yêu cầu)",Có,Kích thước đèn dài 120cm; Màu: Ánh sáng trắng
NSHE506,"Đèn Led bán nguyệt Eco, công suất 50W, Dài 120cm",Nanoco,Bán nguyệt,214.000đ,223.000đ,"Đặt trước (kho tạm hết, nhập theo yêu cầu)",Có,Kích thước đèn dài 120cm; Màu: Ánh sáng trắng
NLF1625,"Quạt Lửng Cơ, 3 cánh quạt, 3 cấp độ gió.",Nanoco,Quạt đứng,881.000đ,925.000đ,"Đặt trước (kho tạm hết, nhập theo yêu cầu)",Có,"Màu: Hồng, Xanh, Ghi"
NSF1641RC,"Quạt đứng remote, 3 cánh quạt, 3 cấp độ gió, điều khiển bằng phím bấm và remote",Nanoco,Quạt đứng,1.583.000đ,1.663.000đ,"Đặt trước (kho tạm hết, nhập theo yêu cầu)",Có,"Màu: Ghi, Xanh Navy, Xám Nhạt"
,"Quạt treo tường Remote, công suất 47W, 3 cánh quạt, 3 cấp độ gió, điều khiển bằng Remote",Nanoco,Quạt treo tường,1.027.000đ,1.079.000đ,"Đặt trước (kho tạm hết, nhập theo yêu cầu)",Có,"Màu: Ghi, Xám nhạt"
NWF1219RC,"Quạt treo tường Remote, công suất 30W, 3 cánh quạt, 3 cấp độ gió, điều khiển bằng Remote",Nanoco,Quạt treo tường,849.000đ,891.000đ,"Đặt trước (kho tạm hết, nhập theo yêu cầu)",Có,Màu: Ghi
WCHG243322W-VN,"Ổ cắm có dây, 3 ổ cắm, 2 USB, dây dài 3 mét",Panasonic,Ổ cắm dây,960.000đ,1.008.000đ,"Đặt trước (kho tạm hết, nhập theo yêu cầu)",Có,Màu: trắng
WCHG24332W,"Ổ cắm có dây, 3 ổ cắm, dây dài 3 mét",Panasonic,Ổ cắm dây,549.000đ,575.000đ,"Đặt trước (kho tạm hết, nhập theo yêu cầu)",Có,Màu: trắng
WCHG2836,"Ổ cắm có dây, 6 ổ cắm 3 chấu, dây dài 3 mét",Panasonic,Ổ cắm dây,985.000đ,1.034.000đ,"Đặt trước (kho tạm hết, nhập theo yêu cầu)",Có,Màu: trắng
F-60FV2,"Quạt trần, 3 cánh (cánh dài 150cm), Hộp số nổi hoặc lắp âm, Công suất 74W, 5 cấp độ gió",Panasonic,Cánh quạt,1.962.000đ,2.061.000đ,"Đặt trước (kho tạm hết, nhập theo yêu cầu)",Có,Màu: Trắng
F-60MZ2,"Quạt trần, 3 cánh (cánh dài 150cm), Hộp số nổi, Công suất 66W, 5 cấp độ gió",Panasonic,Cánh quạt,1.606.000đ,1.687.000đ,"Đặt trước (kho tạm hết, nhập theo yêu cầu)",Có,"Màu: Trắng, hoặc Đen"
WEV1081SW,"Ổ cắm đơn 2 chấu có màn che, 16A, dây điện cắm nhanh. Dòng wide",Panasonic,Ổ cắm đơn,53.000đ,54.000đ,Có sẵn,Có,Màu: Trắng
WEV1181SW,"Ổ cắm đơn 3 chấu có màn che, và dây nối đất, 16A, Dây điện cắm nhanh. Dòng wide",Panasonic,Ổ cắm đơn 3 chấu,85.000đ,87.000đ,Có sẵn,Có,Màu: Trắng
WEV1582SW,"Ổ cắm đôi 3 chấu có màn che, và dây nối đất, 16A, Dây điện cắm nhanh. Dòng wide",Panasonic,Đôi ổ cắm 3 chấu,119.000đ,123.000đ,Có sẵn,Có,Màu: Trắng
WEV1081H,"Ổ cắm đơn 2 chấu có màn che, 16A, dây điện cắm nhanh. Dòng wide",Panasonic,Ổ cắm đơn,65.000đ,67.000đ,Có sẵn,Có,Màu: Đen
WEV1181H,"Ổ cắm đơn 3 chấu có màn che, và dây nối đất, 16A, Dây điện cắm nhanh. Dòng wide",Panasonic,Ổ cắm đơn 3 chấu,113.000đ,117.000đ,Có sẵn,Có,Màu: Đen
WEV1582H,"Ổ cắm đôi 3 chấu có màn che, và dây nối đất, 16A, Dây điện cắm nhanh.Dòng wide",Panasonic,Đôi ổ cắm 3 chấu,159.000đ,165.000đ,Có sẵn,Có,Màu: Đen
,"Công tắc đèn 1 chiều, 16A, loại dây điện cắm nhanh, dòng wide, màu trắng",Panasonic,Công tắc 1 chiều (Trắng),34.000đ,34.000đ,Có sẵn,Có,Màu: Trắng
WEV5001H,"Công tắc đèn 1 chiều, 16A, loại dây điện cắm nhanh, dòng wide, màu đen",Panasonic,Công tắc 1 chiều (Đen),49.000đ,50.000đ,Có sẵn,Có,Màu: Đen
WEV5002SW,"Công tắc cầu thang, 2 chiều, 16A, loại dây điện cắm nhanh, dòng wide, màu trắng",Panasonic,Công tắc 2 chiều (Trắng),60.000đ,61.000đ,Có sẵn,Có,Màu: Trắng
WEV5002H,"Công tắc cầu thang, 2 chiều, 16A, loại dây điện cắm nhanh, dòng wide, màu đen",Panasonic,Công tắc 2 chiều (Đen),80.000đ,82.000đ,Có sẵn,Có,Màu: Đen
WEV68010SW,"Mặt nạ dùng cho 1 thiết bị, màu trắng",Panasonic,Mặt nạ 1 thiết bị,28.000đ,28.000đ,Có sẵn,Có,Màu: Trắng
